PermissionCode|Module|Action
--------------|------|------
Acc.Coa.Create|Accounting|Create
Acc.Coa.Delete|Accounting|Delete
Acc.Coa.Read|Accounting|Read
Acc.Coa.Update|Accounting|Update
Acc.Journal.Approve|Accounting|Approve
Acc.Journal.Create|Accounting|Create
Acc.Journal.Delete|Accounting|Delete
Acc.Journal.Post|Accounting|Post
Acc.Journal.Read|Accounting|Read
Acc.Journal.Update|Accounting|Update
Bank.Account.Crud|Banking|CRUD
Bank.Reconcile|Banking|Reconcile
Bank.Txn.Create|Banking|Create
Bank.Txn.Post|Banking|Post
Bank.Txn.Read|Banking|Read
Hr.SalaryAdvance.Approve|HR|Approve
Hr.SalaryAdvance.Create|HR|Create
Hr.SalaryAdvance.Post|HR|Post
Hr.SalaryAdvance.Read|HR|Read
Hr.SalaryAdvance.Void|HR|Void
Inv.Item.Crud|Inventory|CRUD
Inv.StockAdjust.Create|Inventory|Create
Inv.StockAdjust.Post|Inventory|Post
Inv.StockAdjust.Read|Inventory|Read
Inv.StockIssue.Create|Inventory|Create
Inv.StockIssue.Post|Inventory|Post
Inv.StockIssue.Read|Inventory|Read
Inv.StockReceipt.Create|Inventory|Create
Inv.StockReceipt.Post|Inventory|Post
Inv.StockReceipt.Read|Inventory|Read
Inv.StockTransfer.Create|Inventory|Create
Inv.StockTransfer.Post|Inventory|Post
Inv.StockTransfer.Read|Inventory|Read
Inv.StockTxn.Create|Inventory|Create
Inv.StockTxn.Post|Inventory|Post
Inv.StockTxn.Read|Inventory|Read
Inv.Warehouse.Crud|Inventory|CRUD
Loan.Facility.Crud|Loans|CRUD
Loan.Schedule.Approve|Loans|Approve
Pur.Bill.Create|Purchase|Create
Pur.Bill.Delete|Purchase|Delete
Pur.Bill.Post|Purchase|Post
Pur.Bill.Read|Purchase|Read
Pur.Bill.Update|Purchase|Update
Pur.Payment.Create|Purchase|Create
Pur.Payment.Post|Purchase|Post
Pur.Payment.Read|Purchase|Read
Sal.Invoice.Create|Sales|Create
Sal.Invoice.Delete|Sales|Delete
Sal.Invoice.Post|Sales|Post
Sal.Invoice.Read|Sales|Read
Sal.Invoice.Update|Sales|Update
Sal.Payment.Create|Sales|Create
Sal.Payment.Post|Sales|Post
Sal.Payment.Read|Sales|Read
