Kind|Schema|Table|ConstraintName|ColumnName|Ord
----|------|-----|--------------|----------|---
FK|acc|Account|FK_Account_Parent|CompanyId|0
FK|acc|Account|FK_Account_Company|CompanyId|0
FK|acc|Account|FK_Account_Parent|ParentAccountId|0
FK|acc|Journal|FK_Journal_Company|CompanyId|0
FK|acc|JournalHeader|FK_JournalHeader_FiscalYear|CompanyId|0
FK|acc|JournalHeader|FK_JournalHeader_Journal|CompanyId|0
FK|acc|JournalHeader|FK_JournalHeader_FiscalPeriod|CompanyId|0
FK|acc|JournalHeader|FK_JournalHeader_FiscalPeriod|FiscalPeriodId|0
FK|acc|JournalHeader|FK_JournalHeader_FiscalYear|FiscalYearId|0
FK|acc|JournalHeader|FK_JournalHeader_Journal|JournalId|0
FK|acc|JournalLine|FK_JournalLine_Account|AccountId|0
FK|acc|JournalLine|FK_JournalLine_Account|CompanyId|0
FK|acc|JournalLine|FK_JournalLine_Header|CompanyId|0
FK|acc|JournalLine|FK_JournalLine_CostCenter|CompanyId|0
FK|acc|JournalLine|FK_JournalLine_CostCenter|CostCenterId|0
FK|acc|JournalLine|FK_JournalLine_Currency|CurrencyId|0
FK|acc|JournalLine|FK_JournalLine_Header|JournalHeaderId|0
FK|acc|OpeningBalance|FK_OpeningBalance_Account|AccountId|0
FK|acc|OpeningBalance|FK_OpeningBalance_Account|CompanyId|0
FK|acc|OpeningBalance|FK_OpeningBalance_FiscalYear|CompanyId|0
FK|acc|OpeningBalance|FK_OpeningBalance_CostCenter|CompanyId|0
FK|acc|OpeningBalance|FK_OpeningBalance_CostCenter|CostCenterId|0
FK|acc|OpeningBalance|FK_OpeningBalance_FiscalYear|FiscalYearId|0
FK|bank|BankAccount|FK_BankAccount_Bank|BankId|0
FK|bank|BankAccount|FK_BankAccount_Bank|CompanyId|0
FK|bank|BankAccount|FK_BankAccount_Currency|CurrencyId|0
FK|core|FiscalPeriod|FK_FiscalPeriod_FiscalYear|CompanyId|0
FK|core|FiscalPeriod|FK_FiscalPeriod_FiscalYear|FiscalYearId|0
FK|hr|PayrollPostingSetup|FK_PayrollPostSetup_Payable|CompanyId|0
FK|hr|PayrollPostingSetup|FK_PayrollPostSetup_Expense|CompanyId|0
FK|hr|PayrollPostingSetup|FK_PayrollPostSetup_AdvRec|CompanyId|0
FK|hr|PayrollPostingSetup|FK_PayrollPostSetup_Payable|PayrollPayableAccountId|0
FK|hr|PayrollPostingSetup|FK_PayrollPostSetup_AdvRec|SalaryAdvanceReceivableAccountId|0
FK|hr|PayrollPostingSetup|FK_PayrollPostSetup_Expense|SalaryExpenseAccountId|0
FK|inv|InventoryPostingSetup|FK_InvPostSetup_CogsAcc|CogsAccountId|0
FK|inv|InventoryPostingSetup|FK_InvPostSetup_InvAcc|CompanyId|0
FK|inv|InventoryPostingSetup|FK_InvPostSetup_CogsAcc|CompanyId|0
FK|inv|InventoryPostingSetup|FK_InvPostSetup_VarAcc|CompanyId|0
FK|inv|InventoryPostingSetup|FK_InvPostSetup_InTransitAcc|CompanyId|0
FK|inv|InventoryPostingSetup|FK_InvPostSetup_GrniAcc|CompanyId|0
FK|inv|InventoryPostingSetup|FK_InvPostSetup_GrniAcc|GrniAccountId|0
FK|inv|InventoryPostingSetup|FK_InvPostSetup_InvAcc|InventoryAccountId|0
FK|inv|InventoryPostingSetup|FK_InvPostSetup_InTransitAcc|InventoryInTransitAccountId|0
FK|inv|InventoryPostingSetup|FK_InvPostSetup_VarAcc|InventoryVarianceAccountId|0
PK|acc|Account|PK_Account|CompanyId|1
PK|acc|Account|PK_Account|AccountId|2
PK|acc|Journal|PK_Journal|CompanyId|1
PK|acc|Journal|PK_Journal|JournalId|2
PK|acc|JournalHeader|PK_JournalHeader|CompanyId|1
PK|acc|JournalHeader|PK_JournalHeader|JournalHeaderId|2
PK|acc|JournalLine|PK_JournalLine|CompanyId|1
PK|acc|JournalLine|PK_JournalLine|JournalLineId|2
PK|acc|OpeningBalance|PK_OpeningBalance|CompanyId|1
PK|acc|OpeningBalance|PK_OpeningBalance|OpeningBalanceId|2
PK|bank|BankAccount|PK_BankAccount|CompanyId|1
PK|bank|BankAccount|PK_BankAccount|BankAccountId|2
PK|core|FiscalPeriod|PK_FiscalPeriod|CompanyId|1
PK|core|FiscalPeriod|PK_FiscalPeriod|FiscalPeriodId|2
PK|hr|PayrollPostingSetup|PK_PayrollPostSetup|CompanyId|1
PK|hr|PayrollPostingSetup|PK_PayrollPostSetup|PayrollPostingSetupId|2
PK|inv|InventoryPostingSetup|PK_InvPostSetup|CompanyId|1
PK|inv|InventoryPostingSetup|PK_InvPostSetup|InventoryPostingSetupId|2
